dps,trinketname,ilevel,chestbonus
379904,Draught_of_Souls,925,false
377084,Draught_of_Souls,920,false
374616,Draught_of_Souls,915,false
371919,Draught_of_Souls,910,false
369710,Draught_of_Souls,905,false
367228,Draught_of_Souls,900,false
367050,Eye_of_Command,925,true
366314,Deteriorated_Construct_Core,925,true
366290,Tirathons_Betrayal,925,false
365009,Draught_of_Souls,895,false
364440,Tirathons_Betrayal,920,false
363280,Mrrgrias_Favor,925,true
363263,Eye_of_Command,925,false
362998,Draught_of_Souls,890,false
362754,Deteriorated_Construct_Core,925,false
362708,Tirathons_Betrayal,915,false
362314,Tempered_Egg_of_Serpentrix,925,false
361746,Mrrgrias_Favor,920,true
361382,Twisting_Wind,925,false
360988,Draught_of_Souls,885,false
360922,Oakhearts_Gnarled_Root,925,false
360911,Tirathons_Betrayal,910,false
360814,The_Devilsaurs_Bite,925,false
360211,Mrrgrias_Favor,915,true
360205,Chaos_Talisman,925,false
359566,Stat_Stick_Crit,925,false
359566,Hunger_of_the_Pack,925,false
359421,Tirathons_Betrayal,905,false
359283,Stat_Stick_Vers,925,false
359137,Draught_of_Souls,880,false
358904,Ethereal_Urn,925,false
358849,Stat_Stick_Mastery,925,false
358834,Mrrgrias_Favor,910,true
358342,Fearless_Combatants_Badge_of_Conquest,925,false
358338,Memento_of_Angerboda,925,false
358335,Vindictive_Gladiators_Badge_of_Conquest,925,false
358318,Fearless_Gladiators_Badge_of_Conquest,925,false
358306,ThriceAccursed_Compass,925,false
358250,Vindictive_Combatants_Badge_of_Conquest,925,false
358192,Bloodthirsty_Instinct,925,false
357887,Tirathons_Betrayal,900,false
357860,Stormsinger_Fulmination_Charge,925,false
357387,Mrrgrias_Favor,905,true
357151,Draught_of_Souls,875,false
356984,Fearless_Gladiators_Badge_of_Conquest,920,false
356978,Vindictive_Gladiators_Badge_of_Conquest,920,false
356674,Swarming_Plaguehive,925,false
356635,Arcanogolem_Digit,925,false
356386,Bloodstained_Handkerchief,925,true
356386,Stat_Stick_Haste,925,false
356332,Faulty_Countermeasure,925,false
356256,Mrrgrias_Favor,925,false
356237,Tirathons_Betrayal,895,false
356220,Mrrgrias_Favor,900,true
356096,Nightblooming_Frond,925,false
355809,Chrono_Shard,925,false
355784,Fearless_Gladiators_Badge_of_Conquest,915,false
355744,Vindictive_Gladiators_Badge_of_Conquest,915,false
355510,Draught_of_Souls,870,false
355441,Nightmare_Egg_Shell,925,false
355273,Bloodstained_Handkerchief,920,true
355092,Bloodstained_Handkerchief,925,false
355061,Faulty_Countermeasure,920,false
355054,Mrrgrias_Favor,920,false
354930,Mrrgrias_Favor,895,true
354769,Tirathons_Betrayal,890,false
354763,Spontaneous_Appendages,925,false
354513,Vindictive_Gladiators_Badge_of_Conquest,910,false
354421,Fearless_Gladiators_Badge_of_Conquest,910,false
354218,Entwined_Elemental_Foci,925,false
354040,Bloodstained_Handkerchief,915,true
353908,Bloodstained_Handkerchief,920,false
353907,Faulty_Countermeasure,915,false
353867,Mrrgrias_Favor,915,false
353728,Mrrgrias_Favor,890,true
353586,Draught_of_Souls,865,false
353513,Vindictive_Gladiators_Insignia_of_Conquest,925,false
353452,Fearless_Combatants_Insignia_of_Conquest,925,false
353432,Tirathons_Betrayal,885,false
353383,Fearless_Gladiators_Insignia_of_Conquest,925,false
353346,Vindictive_Gladiators_Badge_of_Conquest,905,false
353330,Fearless_Gladiators_Badge_of_Conquest,905,false
353105,Bloodstained_Handkerchief,910,true
352799,Bloodstained_Handkerchief,915,false
352792,Faulty_Countermeasure,910,false
352727,Mrrgrias_Favor,910,false
352562,Mrrgrias_Favor,885,true
352297,Fearless_Gladiators_Badge_of_Conquest,900,false
352146,Tirathons_Betrayal,880,false
352131,Vindictive_Gladiators_Badge_of_Conquest,900,false
352080,Terrorbound_Nexus,925,false
352018,Bloodstained_Handkerchief,905,true
351758,Mrrgrias_Favor,905,false
351739,Bloodstained_Handkerchief,910,false
351719,Faulty_Countermeasure,905,false
351606,Mrrgrias_Favor,880,true
351132,Vindictive_Gladiators_Badge_of_Conquest,895,false
351036,Fearless_Gladiators_Badge_of_Conquest,895,false
350992,Bloodstained_Handkerchief,900,true
350900,Vindictive_Gladiators_Accolade_of_Conquest,925,false
350829,Tirathons_Betrayal,875,false
350813,Nether_Conductors,925,false
350807,Fearless_Gladiators_Accolade_of_Conquest,925,false
350795,Fearless_Combatants_Accolade_of_Conquest,925,false
350772,Vindictive_Combatants_Accolade_of_Conquest,925,false
350699,Convergence_of_Fates,925,false
350696,Faulty_Countermeasure,900,false
350639,Mrrgrias_Favor,900,false
350633,Bloodstained_Handkerchief,905,false
350563,Mrrgrias_Favor,875,true
350175,Unstable_Horrorslime,925,false
350134,Vindictive_Gladiators_Badge_of_Conquest,890,false
350047,Bloodstained_Handkerchief,895,true
349993,Fearless_Gladiators_Badge_of_Conquest,890,false
349776,Bloodstained_Handkerchief,900,false
349705,Mrrgrias_Favor,895,false
349690,Tirathons_Betrayal,870,false
349631,Faulty_Countermeasure,895,false
349533,Mrrgrias_Favor,870,true
349159,Bloodstained_Handkerchief,890,true
349150,Vindictive_Gladiators_Badge_of_Conquest,885,false
349119,Fearless_Gladiators_Badge_of_Conquest,885,false
348814,Bloodstained_Handkerchief,895,false
348785,Mrrgrias_Favor,890,false
348637,Faulty_Countermeasure,890,false
348628,Tirathons_Betrayal,865,false
348526,Mrrgrias_Favor,865,true
348386,Bloodstained_Handkerchief,885,true
348142,Fearless_Gladiators_Badge_of_Conquest,880,false
348127,Vindictive_Gladiators_Badge_of_Conquest,880,false
348013,Bloodstained_Handkerchief,890,false
347884,Faulty_Countermeasure,885,false
347790,Mrrgrias_Favor,885,false
347548,Bloodstained_Handkerchief,880,true
347295,Vindictive_Gladiators_Badge_of_Conquest,875,false
347278,Fearless_Gladiators_Badge_of_Conquest,875,false
347187,Eye_of_Skovald,925,false
347093,Moonlit_Prism,925,false
347074,Bloodstained_Handkerchief,885,false
347073,Faulty_Countermeasure,880,false
347052,Obelisk_of_the_Void,925,false
347017,Mrrgrias_Favor,880,false
346801,Toe_Knees_Promise,925,true
346786,Bloodstained_Handkerchief,875,true
346494,Mark_of_Dargrul,925,false
346385,Fearless_Gladiators_Badge_of_Conquest,870,false
346358,Vindictive_Gladiators_Badge_of_Conquest,870,false
346319,Obelisk_of_the_Void,920,false
346253,Moonlit_Prism,920,false
346222,Caged_Horror,925,false
346207,Faulty_Countermeasure,875,false
346193,Bloodstained_Handkerchief,880,false
346192,Mrrgrias_Favor,875,false
346100,Bloodstained_Handkerchief,870,true
346076,Toe_Knees_Promise,920,true
345655,Vindictive_Gladiators_Badge_of_Conquest,865,false
345649,Fearless_Gladiators_Badge_of_Conquest,865,false
345416,Bloodstained_Handkerchief,875,false
345401,Mrrgrias_Favor,870,false
345384,Obelisk_of_the_Void,915,false
345360,Faulty_Countermeasure,870,false
345273,Bloodstained_Handkerchief,865,true
345238,Moonlit_Prism,915,false
345177,Toe_Knees_Promise,915,true
345033,Vindictive_Combatants_Insignia_of_Conquest,925,false
344779,Bloodstained_Handkerchief,870,false
344738,Spiked_Counterweight,925,false
344673,Obelisk_of_the_Void,910,false
344582,Mrrgrias_Favor,865,false
344553,Arans_Relaxing_Ruby,925,true
344551,Faulty_Countermeasure,865,false
344443,Moonlit_Prism,910,false
344423,Toe_Knees_Promise,910,true
344006,Bloodstained_Handkerchief,865,false
343665,Tiny_Oozeling_in_a_Jar,925,false
343665,Elementium_Bomb_Squirrel_Generator,925,false
343556,Obelisk_of_the_Void,905,false
343360,Moonlit_Prism,905,false
343260,Toe_Knees_Promise,905,true
343051,Toe_Knees_Promise,925,false
342970,Giant_Ornamental_Pearl,925,false
342764,Tiny_Oozeling_in_a_Jar,920,false
342633,Obelisk_of_the_Void,900,false
342598,Moonlit_Prism,900,false
342445,Toe_Knees_Promise,900,true
342428,Giant_Ornamental_Pearl,920,false
342347,Toe_Knees_Promise,920,false
342193,Tiny_Oozeling_in_a_Jar,915,false
342054,Fury_of_the_Burning_Sky,925,false
341887,Arans_Relaxing_Ruby,925,false
341882,Ravaged_Seed_Pod,925,false
341868,Obelisk_of_the_Void,895,false
341847,Moonlit_Prism,895,false
341801,Toe_Knees_Promise,915,false
341774,Giant_Ornamental_Pearl,915,false
341682,Toe_Knees_Promise,895,true
341652,Windscar_Whetstone,925,false
341502,Tiny_Oozeling_in_a_Jar,910,false
341232,Moonlit_Prism,890,false
341225,Ravaged_Seed_Pod,920,false
341195,Obelisk_of_the_Void,890,false
341154,Giant_Ornamental_Pearl,910,false
341088,Windscar_Whetstone,920,false
341084,Toe_Knees_Promise,910,false
341033,Toe_Knees_Promise,890,true
340986,Tiny_Oozeling_in_a_Jar,905,false
340700,Moonlit_Prism,885,false
340665,Obelisk_of_the_Void,885,false
340645,Giant_Ornamental_Pearl,905,false
340551,Toe_Knees_Promise,885,true
340545,Windscar_Whetstone,915,false
340542,Ravaged_Seed_Pod,915,false
340478,Icon_of_Rot,925,false
340446,Tiny_Oozeling_in_a_Jar,900,false
340173,Windscar_Whetstone,910,false
340160,Toe_Knees_Promise,905,false
340157,Giant_Ornamental_Pearl,900,false
340116,Obelisk_of_the_Void,880,false
340109,Moonlit_Prism,880,false
340051,Tiny_Oozeling_in_a_Jar,895,false
340049,Toe_Knees_Promise,880,true
339998,Naraxas_Spiked_Tongue,925,false
339944,Ravaged_Seed_Pod,910,false
339623,Giant_Ornamental_Pearl,895,false
339503,Toe_Knees_Promise,900,false
339497,Windscar_Whetstone,905,false
339475,Tiny_Oozeling_in_a_Jar,890,false
339458,Obelisk_of_the_Void,875,false
339401,Moonlit_Prism,875,false
339329,Toe_Knees_Promise,875,true
339227,Giant_Ornamental_Pearl,890,false
339096,Ravaged_Seed_Pod,905,false
339071,Windscar_Whetstone,900,false
