dps,trinketname,ilevel,chestbonus
340988,Draught_of_Souls,925,false
338134,Draught_of_Souls,920,false
335334,Draught_of_Souls,915,false
332559,Draught_of_Souls,910,false
330032,Draught_of_Souls,905,false
327422,Draught_of_Souls,900,false
324949,Draught_of_Souls,895,false
322589,Draught_of_Souls,890,false
320201,Draught_of_Souls,885,false
318255,Draught_of_Souls,880,false
316790,Mrrgrias_Favor,925,true
316446,Draught_of_Souls,875,false
315063,Mrrgrias_Favor,920,true
314621,Draught_of_Souls,870,false
314421,Deteriorated_Construct_Core,925,true
314009,Tirathons_Betrayal,925,false
313653,Mrrgrias_Favor,915,true
312742,Oakhearts_Gnarled_Root,925,false
312562,Deteriorated_Construct_Core,920,true
312557,The_Devilsaurs_Bite,925,false
312294,Tirathons_Betrayal,920,false
312267,Mrrgrias_Favor,910,true
311843,Eye_of_Command,925,true
311759,Draught_of_Souls,865,false
311298,Oakhearts_Gnarled_Root,920,false
311123,Deteriorated_Construct_Core,915,true
311055,Swarming_Plaguehive,925,false
311029,The_Devilsaurs_Bite,920,false
310921,Tirathons_Betrayal,915,false
310825,Deteriorated_Construct_Core,925,false
310781,Mrrgrias_Favor,905,true
310486,Eye_of_Command,920,true
310201,Tempered_Egg_of_Serpentrix,925,false
309812,Oakhearts_Gnarled_Root,915,false
309789,Swarming_Plaguehive,920,false
309676,The_Devilsaurs_Bite,915,false
309584,Deteriorated_Construct_Core,910,true
309321,Eye_of_Command,915,true
309313,Mrrgrias_Favor,900,true
309286,Tirathons_Betrayal,910,false
309276,Twisting_Wind,925,false
309226,Mrrgrias_Favor,925,false
309078,Deteriorated_Construct_Core,920,false
308909,Eye_of_Command,925,false
308671,Bloodthirsty_Instinct,925,false
308566,Tempered_Egg_of_Serpentrix,920,false
308451,Swarming_Plaguehive,915,false
308408,Oakhearts_Gnarled_Root,910,false
308316,The_Devilsaurs_Bite,910,false
308159,Eye_of_Command,910,true
308118,Mrrgrias_Favor,920,false
308054,Mrrgrias_Favor,895,true
307895,Deteriorated_Construct_Core,905,true
307828,Chaos_Talisman,925,false
307801,Deteriorated_Construct_Core,915,false
307789,Twisting_Wind,920,false
307776,Tirathons_Betrayal,905,false
307602,Eye_of_Command,920,false
307574,Faulty_Countermeasure,925,false
307457,Bloodthirsty_Instinct,920,false
307311,Swarming_Plaguehive,910,false
307273,Oakhearts_Gnarled_Root,905,false
307259,Tempered_Egg_of_Serpentrix,915,false
307223,The_Devilsaurs_Bite,905,false
307150,Eye_of_Command,905,true
306908,Mrrgrias_Favor,915,false
306812,Deteriorated_Construct_Core,900,true
306772,Mrrgrias_Favor,890,true
