dps,trinketname,ilevel,chestbonus
349448,Draught_of_Souls,925,false
346555,Draught_of_Souls,920,false
343888,Draught_of_Souls,915,false
341170,Draught_of_Souls,910,false
338503,Draught_of_Souls,905,false
336157,Draught_of_Souls,900,false
333776,Draught_of_Souls,895,false
331519,Draught_of_Souls,890,false
329388,Draught_of_Souls,885,false
327254,Draught_of_Souls,880,false
325981,Mrrgrias_Favor,925,true
325325,Draught_of_Souls,875,false
324914,Deteriorated_Construct_Core,925,true
324499,Mrrgrias_Favor,920,true
324366,Tirathons_Betrayal,925,false
323596,Draught_of_Souls,870,false
323184,Mrrgrias_Favor,915,true
323114,Deteriorated_Construct_Core,920,true
322866,Eye_of_Command,925,true
322687,Tirathons_Betrayal,920,false
322170,Oakhearts_Gnarled_Root,925,false
322044,The_Devilsaurs_Bite,925,false
321515,Mrrgrias_Favor,910,true
321417,Eye_of_Command,920,true
321404,Deteriorated_Construct_Core,915,true
321104,Deteriorated_Construct_Core,925,false
321016,Tirathons_Betrayal,915,false
320802,Draught_of_Souls,865,false
320650,The_Devilsaurs_Bite,920,false
320627,Tempered_Egg_of_Serpentrix,925,false
320625,Oakhearts_Gnarled_Root,920,false
320566,Swarming_Plaguehive,925,false
320237,Mrrgrias_Favor,905,true
320127,Eye_of_Command,915,true
319852,Deteriorated_Construct_Core,910,true
319617,Twisting_Wind,925,false
319581,Deteriorated_Construct_Core,920,false
319543,Eye_of_Command,925,false
319412,Tirathons_Betrayal,910,false
319304,The_Devilsaurs_Bite,915,false
319281,Oakhearts_Gnarled_Root,915,false
319252,Swarming_Plaguehive,920,false
319098,Bloodthirsty_Instinct,925,false
319038,Eye_of_Command,910,true
318899,Tempered_Egg_of_Serpentrix,920,false
318807,Mrrgrias_Favor,900,true
318754,Chaos_Talisman,925,false
318676,Mrrgrias_Favor,925,false
318422,Eye_of_Command,920,false
318351,Deteriorated_Construct_Core,905,true
318256,Twisting_Wind,920,false
318172,Tirathons_Betrayal,905,false
318078,Deteriorated_Construct_Core,915,false
318040,Swarming_Plaguehive,915,false
317941,Oakhearts_Gnarled_Root,910,false
317897,Eye_of_Command,905,true
317858,Bloodthirsty_Instinct,920,false
317835,The_Devilsaurs_Bite,910,false
317634,Mrrgrias_Favor,895,true
317560,Tempered_Egg_of_Serpentrix,915,false
317439,Chaos_Talisman,920,false
317418,Mrrgrias_Favor,920,false
317134,Eye_of_Command,915,false
317033,Deteriorated_Construct_Core,900,true
316844,Faulty_Countermeasure,925,false
316833,Deteriorated_Construct_Core,910,false
316751,Eye_of_Command,900,true
316747,Oakhearts_Gnarled_Root,905,false
316713,The_Devilsaurs_Bite,905,false
316699,Stat_Stick_Haste,925,false
316669,Bloodthirsty_Instinct,915,false
316667,Swarming_Plaguehive,910,false
316647,Memento_of_Angerboda,925,false
316627,Twisting_Wind,915,false
316616,Tirathons_Betrayal,900,false
316609,Hunger_of_the_Pack,925,false
316582,ThriceAccursed_Compass,925,false
316554,Stat_Stick_Crit,925,false
316481,Stat_Stick_Vers,925,false
316297,Mrrgrias_Favor,890,true
316261,Tempered_Egg_of_Serpentrix,910,false
316233,Chaos_Talisman,915,false
316232,Mrrgrias_Favor,915,false
316070,Stat_Stick_Mastery,925,false
316036,Ethereal_Urn,925,false
315984,Eye_of_Command,910,false
315977,Chrono_Shard,925,false
315824,Vindictive_Combatants_Badge_of_Conquest,925,false
315743,Fearless_Gladiators_Badge_of_Conquest,925,false
315727,Eye_of_Command,895,true
315692,Spontaneous_Appendages,925,false
315688,Vindictive_Gladiators_Badge_of_Conquest,925,false
315670,Fearless_Combatants_Badge_of_Conquest,925,false
315588,Deteriorated_Construct_Core,895,true
315554,The_Devilsaurs_Bite,900,false
315543,Stat_Stick_Crit,920,false
315540,Faulty_Countermeasure,920,false
315532,Hunger_of_the_Pack,920,false
315518,Bloodthirsty_Instinct,910,false
315504,Oakhearts_Gnarled_Root,900,false
315486,Twisting_Wind,910,false
315482,ThriceAccursed_Compass,920,false
315481,Nightmare_Egg_Shell,925,false
315451,Memento_of_Angerboda,920,false
315444,Stat_Stick_Haste,920,false
315423,Stat_Stick_Vers,920,false
315373,Swarming_Plaguehive,905,false
315295,Tirathons_Betrayal,895,false
315220,Deteriorated_Construct_Core,905,false
315171,Mrrgrias_Favor,885,true
315115,Stormsinger_Fulmination_Charge,925,false
315090,Mrrgrias_Favor,910,false
315085,Chaos_Talisman,910,false
315039,Eye_of_Command,905,false
315015,Tempered_Egg_of_Serpentrix,905,false
314995,Arcanogolem_Digit,925,false
314942,Chrono_Shard,920,false
314916,Stat_Stick_Mastery,920,false
314792,Spontaneous_Appendages,920,false
314722,Ethereal_Urn,920,false
314722,Eye_of_Command,890,true
314656,Fearless_Combatants_Badge_of_Conquest,920,false
314628,Vindictive_Combatants_Badge_of_Conquest,920,false
314606,Fearless_Gladiators_Badge_of_Conquest,920,false
314546,Oakhearts_Gnarled_Root,895,false
