dps,trinketname,ilevel,chestbonus
633654,Deteriorated_Construct_Core,925,true
629569,Deteriorated_Construct_Core,920,true
625585,Deteriorated_Construct_Core,915,true
622888,Deteriorated_Construct_Core,925,false
621687,Deteriorated_Construct_Core,910,true
619055,Deteriorated_Construct_Core,920,false
618200,Deteriorated_Construct_Core,905,true
617997,Twisting_Wind,925,false
615585,Deteriorated_Construct_Core,915,false
614948,Twisting_Wind,920,false
614770,Deteriorated_Construct_Core,900,true
613614,Terrorbound_Nexus,925,false
612271,Deteriorated_Construct_Core,910,false
611785,Eye_of_Command,925,true
611509,Deteriorated_Construct_Core,895,true
611382,Twisting_Wind,915,false
610747,Terrorbound_Nexus,920,false
609388,Toe_Knees_Promise,925,true
609265,Deteriorated_Construct_Core,905,false
609184,Eye_of_Command,920,true
608385,Terrorbound_Nexus,915,false
608352,Twisting_Wind,910,false
608264,Deteriorated_Construct_Core,890,true
607736,Unstable_Horrorslime,925,false
606724,Eye_of_Command,915,true
606588,Toe_Knees_Promise,920,true
606112,Deteriorated_Construct_Core,900,false
605904,Eye_of_Command,925,false
605543,Deteriorated_Construct_Core,885,true
605282,Twisting_Wind,905,false
605246,Terrorbound_Nexus,910,false
605174,Unstable_Horrorslime,920,false
604710,Bloodthirsty_Instinct,925,false
604466,Eye_of_Command,910,true
604139,Chaos_Talisman,925,false
604087,Toe_Knees_Promise,915,true
604084,Arcanogolem_Digit,925,false
603479,Eye_of_Command,920,false
603294,Terrorbound_Nexus,905,false
603289,Deteriorated_Construct_Core,895,false
602664,Unstable_Horrorslime,915,false
602601,Draught_of_Souls,925,false
602427,Deteriorated_Construct_Core,880,true
602427,Twisting_Wind,900,false
602241,Eye_of_Command,905,true
602184,Bloodthirsty_Instinct,920,false
601651,Chaos_Talisman,920,false
601558,Toe_Knees_Promise,910,true
601332,Arcanogolem_Digit,920,false
601199,Eye_of_Command,915,false
600901,Memento_of_Angerboda,925,false
600873,ThriceAccursed_Compass,925,false
600747,Tirathons_Betrayal,925,false
600638,Stat_Stick_Haste,925,false
600582,Stat_Stick_Vers,925,false
600561,Terrorbound_Nexus,900,false
600485,Hunger_of_the_Pack,925,false
600448,Deteriorated_Construct_Core,890,false
600383,Stat_Stick_Crit,925,false
600211,Ethereal_Urn,925,false
600139,Unstable_Horrorslime,910,false
600134,Eye_of_Command,900,true
600053,Bloodthirsty_Instinct,915,false
600013,Stat_Stick_Mastery,925,false
599967,Deteriorated_Construct_Core,875,true
599806,Draught_of_Souls,920,false
599693,Twisting_Wind,895,false
599670,Vindictive_Gladiators_Badge_of_Conquest,925,false
599592,Fearless_Combatants_Badge_of_Conquest,925,false
599563,Fearless_Gladiators_Badge_of_Conquest,925,false
599454,Vindictive_Combatants_Badge_of_Conquest,925,false
599384,Chaos_Talisman,915,false
599296,Chrono_Shard,925,false
599209,Eye_of_Skovald,925,false
598918,Eye_of_Command,910,false
598837,ThriceAccursed_Compass,920,false
598646,Arcanogolem_Digit,915,false
598581,Toe_Knees_Promise,905,true
598502,Memento_of_Angerboda,920,false
598490,Stormsinger_Fulmination_Charge,925,false
598350,Nightmare_Egg_Shell,925,false
598309,Stat_Stick_Vers,920,false
598292,Stat_Stick_Haste,920,false
598244,Terrorbound_Nexus,895,false
598164,Hunger_of_the_Pack,920,false
598124,Eye_of_Command,895,true
598122,Stat_Stick_Crit,920,false
598109,Tirathons_Betrayal,920,false
597924,Stat_Stick_Mastery,920,false
597921,Bloodthirsty_Instinct,910,false
597823,Tempered_Egg_of_Serpentrix,925,false
597791,Ethereal_Urn,920,false
597728,Unstable_Horrorslime,905,false
597721,Deteriorated_Construct_Core,885,false
597351,Fearless_Combatants_Badge_of_Conquest,920,false
597305,Vindictive_Gladiators_Badge_of_Conquest,920,false
597276,Vindictive_Combatants_Badge_of_Conquest,920,false
597210,Fearless_Gladiators_Badge_of_Conquest,920,false
597168,Chaos_Talisman,910,false
597117,Deteriorated_Construct_Core,870,true
597114,Moonlit_Prism,925,false
597109,Twisting_Wind,890,false
597000,Draught_of_Souls,915,false
596993,Eye_of_Skovald,920,false
596934,Toe_Knees_Promise,925,false
596903,Eye_of_Command,905,false
596889,Chrono_Shard,920,false
596692,ThriceAccursed_Compass,915,false
596619,Caged_Horror,925,false
596433,Toe_Knees_Promise,900,true
596348,Memento_of_Angerboda,915,false
596338,Stat_Stick_Haste,915,false
596191,Stormsinger_Fulmination_Charge,920,false
596133,Stat_Stick_Vers,915,false
596109,Nightmare_Egg_Shell,920,false
596035,Eye_of_Command,890,true
595995,Arcanogolem_Digit,910,false
595976,Hunger_of_the_Pack,915,false
595965,Stat_Stick_Crit,915,false
595782,Bloodthirsty_Instinct,905,false
595776,Mark_of_Dargrul,925,false
595740,Terrorbound_Nexus,890,false
595696,Stat_Stick_Mastery,915,false
595596,Ethereal_Urn,915,false
595545,Tirathons_Betrayal,915,false
