
DPS Ranking:
111749061 100.0%  Raid
 416223   0.4%  Oakhearts_Gnarled_Root_920
 415976   0.4%  Tempered_Egg_of_Serpentrix_920
 414948   0.4%  Oakhearts_Gnarled_Root_915
 414308   0.4%  Tempered_Egg_of_Serpentrix_915
 414088   0.4%  Hunger_of_the_Pack_920
 413621   0.4%  Oakhearts_Gnarled_Root_910
 412876   0.4%  Vindictive_Gladiators_Badge_of_Conquest_920
 412825   0.4%  Memento_of_Angerboda_920
 412819   0.4%  Vindictive_Combatants_Badge_of_Conquest_920
 412808   0.4%  Tempered_Egg_of_Serpentrix_910
 412736   0.4%  Hunger_of_the_Pack_915
 412305   0.4%  Stormsinger_Fulmination_Charge_920
 412071   0.4%  Oakhearts_Gnarled_Root_905
 411598   0.4%  Vindictive_Gladiators_Badge_of_Conquest_915
 411457   0.4%  Hunger_of_the_Pack_910
 411390   0.4%  Memento_of_Angerboda_915
 411325   0.4%  Vindictive_Combatants_Badge_of_Conquest_915
 411313   0.4%  Tempered_Egg_of_Serpentrix_905
 411075   0.4%  Stormsinger_Fulmination_Charge_915
 410850   0.4%  Oakhearts_Gnarled_Root_900
 410337   0.4%  Hunger_of_the_Pack_905
 410236   0.4%  Memento_of_Angerboda_910
 410222   0.4%  Vindictive_Combatants_Badge_of_Conquest_910
 410174   0.4%  Vindictive_Gladiators_Badge_of_Conquest_910
 409933   0.4%  Chrono_Shard_920
 409710   0.4%  Tempered_Egg_of_Serpentrix_900
 409632   0.4%  Nightmare_Egg_Shell_920
 409572   0.4%  Stormsinger_Fulmination_Charge_910
 409523   0.4%  Oakhearts_Gnarled_Root_895
 409029   0.4%  Memento_of_Angerboda_905
 408973   0.4%  Hunger_of_the_Pack_900
 408938   0.4%  Vindictive_Combatants_Badge_of_Conquest_905
 408914   0.4%  Vindictive_Gladiators_Badge_of_Conquest_905
 408659   0.4%  Chrono_Shard_915
 408530   0.4%  Stormsinger_Fulmination_Charge_905
 408430   0.4%  Nightmare_Egg_Shell_915
 408387   0.4%  Oakhearts_Gnarled_Root_890
 408365   0.4%  Tempered_Egg_of_Serpentrix_895
 408291   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_920
 407986   0.4%  Hunger_of_the_Pack_895
 407940   0.4%  Memento_of_Angerboda_900
 407798   0.4%  Vindictive_Gladiators_Badge_of_Conquest_900
 407679   0.4%  Vindictive_Combatants_Badge_of_Conquest_900
 407424   0.4%  Stormsinger_Fulmination_Charge_900
 407417   0.4%  Terrorbound_Nexus_920
 407380   0.4%  Oakhearts_Gnarled_Root_885
 407312   0.4%  Chrono_Shard_910
 407095   0.4%  Nightmare_Egg_Shell_910
 407068   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_915
 406981   0.4%  Tempered_Egg_of_Serpentrix_890
 406822   0.4%  Memento_of_Angerboda_895
 406819   0.4%  Vindictive_Combatants_Badge_of_Conquest_895
 406782   0.4%  Vindictive_Gladiators_Badge_of_Conquest_895
 406632   0.4%  Hunger_of_the_Pack_890
 406450   0.4%  Terrorbound_Nexus_915
 406278   0.4%  Chrono_Shard_905
 406232   0.4%  Oakhearts_Gnarled_Root_880
 406193   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_910
 406173   0.4%  Stormsinger_Fulmination_Charge_895
 405984   0.4%  Nightmare_Egg_Shell_905
 405781   0.4%  Hunger_of_the_Pack_885
 405767   0.4%  Tempered_Egg_of_Serpentrix_885
 405612   0.4%  Vindictive_Gladiators_Badge_of_Conquest_890
 405540   0.4%  Memento_of_Angerboda_890
 405466   0.4%  Vindictive_Combatants_Badge_of_Conquest_890
 405399   0.4%  Terrorbound_Nexus_910
 405320   0.4%  Stormsinger_Fulmination_Charge_890
 405296   0.4%  Chrono_Shard_900
 405237   0.4%  Oakhearts_Gnarled_Root_875
 405115   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_905
 404941   0.4%  Nightmare_Egg_Shell_900
 404755   0.4%  Hunger_of_the_Pack_880
 404712   0.4%  Memento_of_Angerboda_885
 404591   0.4%  Vindictive_Combatants_Badge_of_Conquest_885
 404558   0.4%  Vindictive_Gladiators_Badge_of_Conquest_885
 404413   0.4%  Tempered_Egg_of_Serpentrix_880
 404389   0.4%  Nether_Conductors_920
 404379   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_920
 404333   0.4%  Vindictive_Combatants_Accolade_of_Conquest_920
 404315   0.4%  Oakhearts_Gnarled_Root_870
 404288   0.4%  Stormsinger_Fulmination_Charge_885
 404216   0.4%  Terrorbound_Nexus_905
 404196   0.4%  Chrono_Shard_895
 404138   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_900
 403803   0.4%  Hunger_of_the_Pack_875
 403789   0.4%  Nightmare_Egg_Shell_895
 403743   0.4%  Memento_of_Angerboda_880
 403667   0.4%  Vindictive_Gladiators_Badge_of_Conquest_880
 403550   0.4%  Vindictive_Combatants_Badge_of_Conquest_880
 403318   0.4%  Terrorbound_Nexus_900
 403294   0.4%  Stormsinger_Fulmination_Charge_880
 403285   0.4%  Chrono_Shard_890
 403248   0.4%  Tempered_Egg_of_Serpentrix_875
 403245   0.4%  Nether_Conductors_915
 403219   0.4%  Oakhearts_Gnarled_Root_865
 403202   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_915
 403191   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_895
 403042   0.4%  Vindictive_Combatants_Accolade_of_Conquest_915
 402962   0.4%  Hunger_of_the_Pack_870
 402869   0.4%  Nightmare_Egg_Shell_890
 402773   0.4%  Darkmoon_Deck_Dominion_865
 402687   0.4%  Vindictive_Gladiators_Badge_of_Conquest_875
 402678   0.4%  Memento_of_Angerboda_875
 402647   0.4%  Vindictive_Combatants_Badge_of_Conquest_875
 402607   0.4%  Terrorbound_Nexus_895
 402419   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_890
 402407   0.4%  Eye_of_Skovald_920
 402399   0.4%  Chrono_Shard_885
 402361   0.4%  Nether_Conductors_910
 402309   0.4%  Tempered_Egg_of_Serpentrix_870
 402259   0.4%  Stormsinger_Fulmination_Charge_875
 402127   0.4%  Vindictive_Combatants_Accolade_of_Conquest_910
 402096   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_910
 401939   0.4%  Hunger_of_the_Pack_865
 401900   0.4%  Vindictive_Gladiators_Badge_of_Conquest_870
 401889   0.4%  Nightmare_Egg_Shell_885
 401827   0.4%  Terrorbound_Nexus_890
 401826   0.4%  Memento_of_Angerboda_870
 401789   0.4%  Obelisk_of_the_Void_920
 401736   0.4%  Mark_of_Dargrul_920
 401574   0.4%  Vindictive_Combatants_Badge_of_Conquest_870
 401467   0.4%  Caged_Horror_920
 401466   0.4%  Stormsinger_Fulmination_Charge_870
 401426   0.4%  Eye_of_Skovald_915
 401416   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_885
 401332   0.4%  Chrono_Shard_880
 401310   0.4%  Tempered_Egg_of_Serpentrix_865
 401261   0.4%  Nether_Conductors_905
 401256   0.4%  Spiked_Counterweight_920
 401070   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_905
 401069   0.4%  Terrorbound_Nexus_885
 401047   0.4%  Vindictive_Combatants_Accolade_of_Conquest_905
 401017   0.4%  Nightmare_Egg_Shell_880
 401011   0.4%  Vindictive_Combatants_Badge_of_Conquest_865
 400970   0.4%  Vindictive_Gladiators_Badge_of_Conquest_865
 400914   0.4%  Memento_of_Angerboda_865
 400870   0.4%  Obelisk_of_the_Void_915
 400838   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_880
 400800   0.4%  Mark_of_Dargrul_915
 400766   0.4%  Caged_Horror_915
 400745   0.4%  Eye_of_Skovald_910
 400631   0.4%  Spiked_Counterweight_915
 400464   0.4%  Stormsinger_Fulmination_Charge_865
 400455   0.4%  Spiked_Counterweight_910
 400438   0.4%  Chrono_Shard_875
 400193   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_900
 400177   0.4%  Spiked_Counterweight_905
 400147   0.4%  Nether_Conductors_900
 400122   0.4%  Obelisk_of_the_Void_910
 400122   0.4%  Mark_of_Dargrul_910
 400121   0.4%  Terrorbound_Nexus_880
 400065   0.4%  Nightmare_Egg_Shell_875
 400061   0.4%  Vindictive_Combatants_Accolade_of_Conquest_900
 400019   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_875
 399999   0.4%  Eye_of_Skovald_905
 399859   0.4%  Caged_Horror_910
 399774   0.4%  Chrono_Shard_870
 399561   0.4%  Spiked_Counterweight_900
 399469   0.4%  Mark_of_Dargrul_905
 399407   0.4%  Terrorbound_Nexus_875
 399335   0.4%  Obelisk_of_the_Void_905
 399321   0.4%  Eye_of_Skovald_900
 399274   0.4%  Spiked_Counterweight_895
 399223   0.4%  Caged_Horror_905
 399160   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_895
 399152   0.4%  Nightmare_Egg_Shell_870
 399133   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_870
 399059   0.4%  Vindictive_Combatants_Accolade_of_Conquest_895
 398980   0.4%  Nether_Conductors_895
 398818   0.4%  Mark_of_Dargrul_900
 398788   0.4%  Terrorbound_Nexus_870
 398767   0.4%  Vindictive_Combatants_Insignia_of_Conquest_920
 398668   0.4%  Spiked_Counterweight_890
 398665   0.4%  Eye_of_Skovald_895
 398648   0.4%  Chrono_Shard_865
 398557   0.4%  Obelisk_of_the_Void_900
 398519   0.4%  Caged_Horror_900
 398452   0.4%  Vindictive_Gladiators_Insignia_of_Conquest_865
 398448   0.4%  Nightmare_Egg_Shell_865
 398264   0.4%  Nether_Conductors_890
 398241   0.4%  Vindictive_Gladiators_Accolade_of_Conquest_890
 398230   0.4%  Vindictive_Combatants_Accolade_of_Conquest_890
 398177   0.4%  Spiked_Counterweight_885
 398051   0.4%  Mark_of_Dargrul_895
 397977   0.4%  Obelisk_of_the_Void_895
 397947   0.4%  Eye_of_Skovald_890
