dps,trinketname,ilevel,chestbonus
416223,Oakhearts_Gnarled_Root_,920,false
414948,Oakhearts_Gnarled_Root_,915,false
414088,Hunger_of_the_Pack_,920,false
412876,Vindictive_Gladiators_Badge_of_Conquest_,920,false
412819,Vindictive_Combatants_Badge_of_Conquest_,920,false
412736,Hunger_of_the_Pack_,915,false
412071,Oakhearts_Gnarled_Root_,905,false
411457,Hunger_of_the_Pack_,910,false
411325,Vindictive_Combatants_Badge_of_Conquest_,915,false
411075,Stormsinger_Fulmination_Charge_,915,false
410337,Hunger_of_the_Pack_,905,false
410222,Vindictive_Combatants_Badge_of_Conquest_,910,false
409933,Chrono_Shard_,920,false
409632,Nightmare_Egg_Shell_,920,false
409523,Oakhearts_Gnarled_Root_,895,false
408973,Hunger_of_the_Pack_,900,false
408914,Vindictive_Gladiators_Badge_of_Conquest_,905,false
408530,Stormsinger_Fulmination_Charge_,905,false
408387,Oakhearts_Gnarled_Root_,890,false
408291,Vindictive_Gladiators_Insignia_of_Conquest_,920,false
407940,Memento_of_Angerboda_,900,false
407679,Vindictive_Combatants_Badge_of_Conquest_,900,false
407417,Terrorbound_Nexus_,920,false
407312,Chrono_Shard_,910,false
407068,Vindictive_Gladiators_Insignia_of_Conquest_,915,false
406822,Memento_of_Angerboda_,895,false
406782,Vindictive_Gladiators_Badge_of_Conquest_,895,false
406450,Terrorbound_Nexus_,915,false
406232,Oakhearts_Gnarled_Root_,880,false
406173,Stormsinger_Fulmination_Charge_,895,false
405781,Hunger_of_the_Pack_,885,false
405612,Vindictive_Gladiators_Badge_of_Conquest_,890,false
405466,Vindictive_Combatants_Badge_of_Conquest_,890,false
405320,Stormsinger_Fulmination_Charge_,890,false
405237,Oakhearts_Gnarled_Root_,875,false
404941,Nightmare_Egg_Shell_,900,false
404712,Memento_of_Angerboda_,885,false
404558,Vindictive_Gladiators_Badge_of_Conquest_,885,false
404389,Nether_Conductors_,920,false
404333,Vindictive_Combatants_Accolade_of_Conquest_,920,false
404288,Stormsinger_Fulmination_Charge_,885,false
404196,Chrono_Shard_,895,false
403803,Hunger_of_the_Pack_,875,false
403743,Memento_of_Angerboda_,880,false
403550,Vindictive_Combatants_Badge_of_Conquest_,880,false
403294,Stormsinger_Fulmination_Charge_,880,false
403248,Tempered_Egg_of_Serpentrix_,875,false
403219,Oakhearts_Gnarled_Root_,865,false
403191,Vindictive_Gladiators_Insignia_of_Conquest_,895,false
402962,Hunger_of_the_Pack_,870,false
402773,Darkmoon_Deck_Dominion_,865,false
402678,Memento_of_Angerboda_,875,false
402607,Terrorbound_Nexus_,895,false
402407,Eye_of_Skovald_,920,false
402361,Nether_Conductors_,910,false
402259,Stormsinger_Fulmination_Charge_,875,false
402096,Vindictive_Gladiators_Accolade_of_Conquest_,910,false
401900,Vindictive_Gladiators_Badge_of_Conquest_,870,false
401827,Terrorbound_Nexus_,890,false
401789,Obelisk_of_the_Void_,920,false
401574,Vindictive_Combatants_Badge_of_Conquest_,870,false
401466,Stormsinger_Fulmination_Charge_,870,false
401416,Vindictive_Gladiators_Insignia_of_Conquest_,885,false
401310,Tempered_Egg_of_Serpentrix_,865,false
401256,Spiked_Counterweight_,920,false
401069,Terrorbound_Nexus_,885,false
401017,Nightmare_Egg_Shell_,880,false
