
DPS Ranking:
43515866 100.0%  Raid
 330786   0.8%  Memento_of_Angerboda_920
 329637   0.8%  Memento_of_Angerboda_915
 328885   0.8%  Memento_of_Angerboda_910
 327767   0.8%  Memento_of_Angerboda_905
 326990   0.8%  Memento_of_Angerboda_900
 326117   0.7%  Memento_of_Angerboda_895
 325905   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_920
 325327   0.7%  Spiked_Counterweight_920
 325301   0.7%  Eye_of_Skovald_920
 325289   0.7%  Memento_of_Angerboda_890
 325014   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_915
 324918   0.7%  Spiked_Counterweight_915
 324619   0.7%  Spiked_Counterweight_910
 324468   0.7%  Eye_of_Skovald_915
 324462   0.7%  Spiked_Counterweight_905
 324400   0.7%  Memento_of_Angerboda_885
 324388   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_910
 324195   0.7%  Caged_Horror_920
 323861   0.7%  Spiked_Counterweight_900
 323696   0.7%  Eye_of_Skovald_910
 323692   0.7%  Memento_of_Angerboda_880
 323562   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_905
 323539   0.7%  Spiked_Counterweight_895
 323443   0.7%  Caged_Horror_915
 323014   0.7%  Eye_of_Skovald_905
 322934   0.7%  Spiked_Counterweight_890
 322895   0.7%  Memento_of_Angerboda_875
 322800   0.7%  Vindictive_Combatants_Accolade_of_Conquest_920
 322788   0.7%  Spiked_Counterweight_885
 322754   0.7%  Nether_Conductors_920
 322741   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_900
 322727   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_920
 322688   0.7%  Vindictive_Combatants_Badge_of_Conquest_920
 322676   0.7%  Vindictive_Gladiators_Badge_of_Conquest_920
 322462   0.7%  Spiked_Counterweight_880
 322453   0.7%  Caged_Horror_910
 322451   0.7%  Eye_of_Skovald_900
 322303   0.7%  Memento_of_Angerboda_870
 322272   0.7%  Spiked_Counterweight_875
 321971   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_915
 321965   0.7%  Caged_Horror_905
 321963   0.7%  Nether_Conductors_915
 321899   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_895
 321872   0.7%  Vindictive_Combatants_Accolade_of_Conquest_915
 321857   0.7%  Vindictive_Gladiators_Badge_of_Conquest_915
 321751   0.7%  Vindictive_Combatants_Badge_of_Conquest_915
 321688   0.7%  Eye_of_Skovald_895
 321638   0.7%  Spiked_Counterweight_870
 321543   0.7%  Spiked_Counterweight_865
 321535   0.7%  Darkmoon_Deck_Dominion_865
 321523   0.7%  Memento_of_Angerboda_865
 321376   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_890
 321298   0.7%  Caged_Horror_900
 321224   0.7%  Vindictive_Gladiators_Badge_of_Conquest_910
 321142   0.7%  Nether_Conductors_910
 321130   0.7%  Vindictive_Combatants_Badge_of_Conquest_910
 321119   0.7%  Vindictive_Combatants_Accolade_of_Conquest_910
 321119   0.7%  Hunger_of_the_Pack_865
 320993   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_910
 320940   0.7%  Eye_of_Skovald_890
 320673   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_885
 320636   0.7%  Caged_Horror_895
 320286   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_905
 320269   0.7%  Vindictive_Gladiators_Badge_of_Conquest_905
 320268   0.7%  Eye_of_Skovald_885
 320263   0.7%  Vindictive_Combatants_Badge_of_Conquest_905
 320231   0.7%  Vindictive_Combatants_Accolade_of_Conquest_905
 320178   0.7%  Nether_Conductors_905
 320161   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_880
 320010   0.7%  Caged_Horror_890
 319796   0.7%  Eye_of_Skovald_880
 319654   0.7%  Vindictive_Combatants_Accolade_of_Conquest_900
 319618   0.7%  Vindictive_Gladiators_Badge_of_Conquest_900
 319597   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_900
 319521   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_875
 319485   0.7%  Nether_Conductors_900
 319478   0.7%  Caged_Horror_885
 319478   0.7%  Vindictive_Combatants_Badge_of_Conquest_900
 319195   0.7%  Eye_of_Skovald_875
 318896   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_870
 318817   0.7%  Caged_Horror_880
 318778   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_895
 318753   0.7%  Nether_Conductors_895
 318740   0.7%  Vindictive_Gladiators_Badge_of_Conquest_895
 318670   0.7%  Vindictive_Combatants_Badge_of_Conquest_895
 318647   0.7%  Vindictive_Combatants_Accolade_of_Conquest_895
 318483   0.7%  Eye_of_Skovald_870
 318382   0.7%  Caged_Horror_875
 318377   0.7%  Vindictive_Combatants_Insignia_of_Conquest_920
 318336   0.7%  Vindictive_Gladiators_Insignia_of_Conquest_865
 318134   0.7%  Nether_Conductors_890
 318054   0.7%  Vindictive_Gladiators_Accolade_of_Conquest_890
 318007   0.7%  Eye_of_Skovald_865
