dps,trinketname,ilevel,chestbonus
652909,Deteriorated_Construct_Core_,920,true
649478,Deteriorated_Construct_Core_,915,false
649298,Deteriorated_Construct_Core_,915,true
646626,Terrorbound_Nexus_,915,false
646126,Deteriorated_Construct_Core_,910,true
643929,Terrorbound_Nexus_,910,false
642817,Deteriorated_Construct_Core_,905,true
641870,Twisting_Wind_,910,false
639888,Deteriorated_Construct_Core_,900,false
639659,Unstable_Horrorslime_,915,false
638421,Terrorbound_Nexus_,900,false
637044,Unstable_Horrorslime_,910,false
636118,Twisting_Wind_,900,false
635682,Eye_of_Command_,920,false
634745,Unstable_Horrorslime_,905,false
634165,Deteriorated_Construct_Core_,890,true
634047,Arcanogolem_Digit_,920,false
633688,Chaos_Talisman_,920,false
633647,Terrorbound_Nexus_,890,false
633362,Twisting_Wind_,895,false
631954,Bloodthirsty_Instinct_,915,false
631577,Deteriorated_Construct_Core_,885,false
631530,Eye_of_Command_,910,true
631420,Eye_of_Skovald_,915,false
631327,Terrorbound_Nexus_,885,false
630687,Twisting_Wind_,890,false
630592,Ethereal_Urn_,920,false
630463,Stat_Stick_Haste_,920,false
630248,Stat_Stick_Crit_,920,false
630197,Hunger_of_the_Pack_,920,false
629913,Bloodthirsty_Instinct_,910,false
629713,Caged_Horror_,915,false
629412,Deteriorated_Construct_Core_,880,false
629244,Eye_of_Skovald_,910,false
629201,Terrorbound_Nexus_,880,false
629055,Chaos_Talisman_,910,false
628602,Chrono_Shard_,920,false
628484,Stat_Stick_Vers_,915,false
628283,Memento_of_Angerboda_,915,false
628235,Stat_Stick_Crit_,915,false
628082,Unstable_Horrorslime_,890,false
628054,Bloodthirsty_Instinct_,905,false
627942,ThriceAccursed_Compass_,915,false
627723,Nightmare_Egg_Shell_,920,false
627390,Eye_of_Command_,900,true
626972,Terrorbound_Nexus_,875,false
626795,Chaos_Talisman_,905,false
626735,Arcanogolem_Digit_,905,false
626640,Chrono_Shard_,915,false
626496,Stat_Stick_Mastery_,910,false
626434,Stat_Stick_Vers_,910,false
626305,Memento_of_Angerboda_,910,false
626213,Mark_of_Dargrul_,910,false
626008,Stat_Stick_Haste_,910,false
625873,Nightmare_Egg_Shell_,915,false
625788,ThriceAccursed_Compass_,910,false
625540,Caged_Horror_,905,false
625308,Eye_of_Command_,895,true
624985,Terrorbound_Nexus_,870,false
624771,Stormsinger_Fulmination_Charge_,910,false
624641,Stat_Stick_Mastery_,905,false
624596,Deteriorated_Construct_Core_,870,false
624420,Arcanogolem_Digit_,900,false
624377,Memento_of_Angerboda_,905,false
624154,Bloodthirsty_Instinct_,895,false
624109,Mark_of_Dargrul_,905,false
623816,ThriceAccursed_Compass_,905,false
623791,Unstable_Horrorslime_,880,false
623601,Nightmare_Egg_Shell_,910,false
623456,Twisting_Wind_,875,false
623315,Tempered_Egg_of_Serpentrix_,910,false
623124,Terrorbound_Nexus_,865,false
622700,Stat_Stick_Vers_,900,false
622641,Ethereal_Urn_,900,false
622549,Entwined_Elemental_Foci_,920,false
622349,Deteriorated_Construct_Core_,865,true
622322,Deteriorated_Construct_Core_,865,false
